ID	CODE	NAME
627	GG (1)	Tropical Airways Inc.
628	GG (2)	Grenada Airways Ltd.
629	GH	Ghana Airways Corporation
630	GHA	Green Hills Aviation Ltd.
631	GIQ	Global International Airways Corp.
632	GJ	Eurofly S.p.A
633	GJ (1)	Mexicargo
634	GKQ	Laker Airways
635	GL	Miami Air International
636	GLW	Golden West Airlines Co.
637	GM	Air America
638	GMA	Green Mountain Airlines Ltd.
639	GOF	Copper State Airlines
640	GPA	GP Express Airlines
641	GQ	Big Sky Airlines Inc.
642	GR	Gemini Air Cargo Airways
643	GRA	Gorda Aero Service
644	GRD	Grand Canyon Airlines
645	GRO	Isle Royale Seaplane Serv.
646	GS	Air Foyle Limited
647	GSA	Golden Gate Airlines Inc.
648	GSC	GCS Air Service
649	GSL	Golden South Airlines Inc.
650	GSQ	Global Supply System
651	GST	Golden State Airlines
652	GU	Aviateca
653	GUL	Gull Air Inc.
654	GUN	Gunnel Aviation Inc.
655	GV	Grant Aviation
656	GW	Central American Airlines
657	GWA	Great Western Aviation
658	GWE	Ross Aviation Inc.
659	GX	Air Ontario Limited
660	GY	Guyana Airways Corporation
661	H2	City Bird
662	H5	Magadan Airlines
663	H6	Hageland Aviation Service
664	HA	Hawaiian Airlines Inc.
665	HAQ	Hapag Lloyd Flug.
666	HAR	Friendship Air Alaska
667	HB	Homer Air
668	HB (1)	Air Club International
669	HBQ	Harris Air Services
670	HCQ	Av Atlantic
671	HEL	Helitrans
672	HEP	Hub Express
673	HER	Markair Express
674	HET	Helitac Aviation
675	HEU	Heussler Air Service Corp
676	HFQ	Haiti Air Freight Intl
677	HFS	Hensley Flying Service Inc.
678	HIQ	Business Flights Ltd.
679	HJ	Air Haiti S. A.
680	HK	Time Air Sweden Ab
681	HLQ	Heavylift Cargo Airlines Lt
682	HMZ	Long Island Airlines
683	HNS	Haines Airways
684	HOL	Holiday Airlines Inc.
685	HOQ	Holidair Airways
686	HOR	Iowa Airlines
687	HP	America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.)
